Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,name,platform,meta_score,user_score
10430,Family Party: 30 Great Games,Wii,2008.0,Misc,D3Publisher,0.09,0.01,0.0,0.01,0.1,Family Party: 30 Great Games,Wii,42.0,2.3
10438,Thrillville: Off the Rails,PSP,2007.0,Strategy,LucasArts,0.09,0.0,0.0,0.01,0.1,Thrillville: Off the Rails,PSP,72.0,1.5
10446,Agatha Christie: The ABC Murders,DS,2009.0,Adventure,JoWood Productions,0.08,0.01,0.0,0.01,0.1,Agatha Christie: The ABC Murders,DS,53.0,6.2
10459,Exit DS,DS,2008.0,Puzzle,Square Enix,0.09,0.0,0.01,0.01,0.1,Exit DS,DS,64.0,5.7
10464,The Whispered World,PC,2009.0,Adventure,Deep Silver,0.0,0.08,0.0,0.02,0.1,The Whispered World,PC,70.0,7.4
10474,Miami Law,DS,2009.0,Adventure,Konami Digital Entertainment,0.1,0.0,0.0,0.01,0.1,Miami Law,DS,56.0,8.2
10479,Gretzky NHL,PSP,2005.0,Sports,Sony Computer Entertainment,0.1,0.0,0.0,0.01,0.1,Gretzky NHL,PSP,61.0,7.4
10482,PictoImage,DS,2007.0,Puzzle,Sega,0.1,0.0,0.0,0.01,0.1,PictoImage,DS,61.0,
10489,Rome: Total War,PC,2004.0,Strategy,Activision,0.0,0.08,0.0,0.02,0.1,Rome: Total War,PC,92.0,9.0
10498,Myst,DS,2007.0,Adventure,Midway Games,0.09,0.0,0.0,0.01,0.1,Myst,DS,43.0,2.9
10508,Astro Boy: The Video Game,DS,2009.0,Action,D3Publisher,0.09,0.0,0.0,0.01,0.1,Astro Boy: The Video Game,DS,34.0,5.7
10516,Medal of Honor: Vanguard,Wii,2007.0,Shooter,Electronic Arts,0.06,0.03,0.0,0.01,0.1,Medal of Honor: Vanguard,Wii,56.0,7.0
10532,Dungeons & Dragons Tactics,PSP,2007.0,Strategy,Atari,0.09,0.0,0.0,0.01,0.1,Dungeons & Dragons Tactics,PSP,58.0,7.6
10541,Yggdra Union: We'll Never Fight Alone,PSP,2008.0,Role-Playing,Sting,0.05,0.0,0.04,0.01,0.1,Yggdra Union: We'll Never Fight Alone,PSP,73.0,8.2
10552,Draglade,DS,2007.0,Fighting,505 Games,0.09,0.0,0.0,0.01,0.1,Draglade,DS,71.0,7.5
10586,Little League World Series Baseball 2008,Wii,2008.0,Sports,Activision,0.09,0.0,0.0,0.01,0.1,Little League World Series Baseball 2008,Wii,70.0,8.0
10593,Total War: WARHAMMER,PC,2016.0,Strategy,Sega,0.0,0.1,0.0,0.01,0.1,Total War: WARHAMMER,PC,86.0,7.4
10596,Blue Dragon: Awakened Shadow,DS,2009.0,Role-Playing,Namco Bandai Games,0.06,0.0,0.03,0.0,0.1,Blue Dragon: Awakened Shadow,DS,63.0,6.7
10605,Bejeweled Twist,DS,2010.0,Puzzle,PopCap Games,0.0,0.09,0.0,0.01,0.1,Bejeweled Twist,DS,77.0,
10606,Rock Band 3,DS,2010.0,Misc,MTV Games,0.09,0.01,0.0,0.01,0.1,Rock Band 3,DS,79.0,6.1
10613,Spider-Man: Web of Shadows,DS,2008.0,Action,Activision,0.09,0.0,0.0,0.01,0.1,Spider-Man: Web of Shadows,DS,77.0,7.0
10625,Opoona,Wii,2007.0,Role-Playing,Tecmo Koei,0.08,0.0,0.01,0.01,0.1,Opoona,Wii,65.0,8.1
10656,NBA Ballers: Rebound,PSP,2006.0,Sports,Midway Games,0.09,0.0,0.0,0.01,0.1,NBA Ballers: Rebound,PSP,69.0,7.7
10684,Star Wars: Lethal Alliance,DS,2006.0,Action,Ubisoft,0.08,0.01,0.0,0.01,0.1,Star Wars: Lethal Alliance,DS,57.0,
10693,Age of Empires II: The Age of Kings,PC,1999.0,Strategy,Microsoft Game Studios,0.01,0.08,0.0,0.02,0.1,Age of Empires II: The Age of Kings,PC,92.0,9.0
10694,"Warhammer 40,000: Dawn of War II - Chaos Rising",PC,2010.0,Strategy,THQ,0.08,0.01,0.0,0.01,0.1,"Warhammer 40,000: Dawn of War II - Chaos Rising",PC,84.0,8.6
10697,F1 2014,PC,2014.0,Racing,Codemasters,0.0,0.09,0.0,0.01,0.1,F1 2014,PC,61.0,5.0
10698,Code Lyoko: Quest for Infinity,Wii,2007.0,Action,Game Factory,0.07,0.02,0.0,0.01,0.1,Code Lyoko: Quest for Infinity,Wii,58.0,7.8
10701,Scribblenauts Unmasked: A DC Comics Adventure,3DS,2013.0,Puzzle,Warner Bros. Interactive Entertainment,0.09,0.0,0.0,0.01,0.1,Scribblenauts Unmasked: A DC Comics Adventure,3DS,68.0,6.2
10721,Burnout Paradise: The Ultimate Box,PC,2009.0,Racing,Electronic Arts,0.0,0.08,0.0,0.01,0.1,Burnout Paradise: The Ultimate Box,PC,87.0,7.6
10723,The Secret Saturdays: Beasts of the 5th Sun,Wii,2009.0,Action,D3Publisher,0.09,0.0,0.0,0.01,0.1,The Secret Saturdays: Beasts of the 5th Sun,Wii,60.0,
10730,Cubic Ninja,3DS,2011.0,Platform,Ubisoft,0.05,0.04,0.0,0.01,0.1,Cubic Ninja,3DS,51.0,5.9
10732,Harvest Moon: Frantic Farming,DS,2009.0,Puzzle,Rising Star Games,0.08,0.01,0.0,0.01,0.1,Harvest Moon: Frantic Farming,DS,72.0,6.3
10733,Rise of the Tomb Raider,PC,2016.0,Adventure,Square Enix,0.0,0.09,0.0,0.01,0.1,Rise of the Tomb Raider,PC,86.0,8.0
10736,Power Stone Collection,PSP,2006.0,Action,Capcom,0.08,0.0,0.0,0.01,0.1,Power Stone Collection,PSP,74.0,7.3
10739,Thor: God of Thunder,3DS,2011.0,Action,Sega,0.06,0.03,0.0,0.01,0.1,Thor: God of Thunder,3DS,55.0,4.2
10740,Mana Khemia: Student Alliance,PSP,2008.0,Role-Playing,Nippon Ichi Software,0.05,0.0,0.03,0.01,0.1,Mana Khemia: Student Alliance,PSP,41.0,6.6
10745,Touch Detective,DS,2006.0,Adventure,505 Games,0.06,0.03,0.0,0.01,0.1,Touch Detective,DS,60.0,6.6
10753,"Blast Works: Build, Trade, Destroy",Wii,2008.0,Shooter,Eidos Interactive,0.09,0.0,0.0,0.01,0.1,"Blast Works: Build, Trade, Destroy",Wii,78.0,7.7
10758,Wasteland 2,PC,2015.0,Role-Playing,inXile Entertainment,0.02,0.06,0.0,0.01,0.1,Wasteland 2,PC,81.0,7.2
10761,Ninja Reflex,DS,2008.0,Action,Electronic Arts,0.09,0.0,0.0,0.01,0.1,Ninja Reflex,DS,54.0,
10762,Dragon Ball: Evolution,PSP,2009.0,Fighting,Namco Bandai Games,0.09,0.0,0.0,0.01,0.1,Dragon Ball: Evolution,PSP,28.0,1.4
10763,Red Bull BC One,DS,2008.0,Misc,Playlogic Game Factory,0.09,0.0,0.0,0.01,0.1,Red Bull BC One,DS,48.0,5.3
10764,Heatseeker,Wii,2007.0,Action,Codemasters,0.08,0.0,0.0,0.01,0.1,Heatseeker,Wii,62.0,6.3
10795,Glory Days 2,DS,2007.0,Strategy,Ghostlight,0.08,0.0,0.0,0.01,0.1,Glory Days 2,DS,73.0,7.8
10802,Populous DS,DS,2008.0,Strategy,Rising Star Games,0.07,0.0,0.02,0.01,0.1,Populous DS,DS,60.0,
10805,Cartoon Network: Punch Time Explosion,3DS,2011.0,Fighting,Deep Silver,0.07,0.02,0.0,0.01,0.1,Cartoon Network: Punch Time Explosion,3DS,58.0,6.1
10811,SNK vs. Capcom Card Fighters DS,DS,2006.0,Strategy,Ignition Entertainment,0.09,0.0,0.0,0.01,0.1,SNK vs. Capcom Card Fighters DS,DS,48.0,5.3
10817,NASCAR,PSP,2006.0,Racing,Electronic Arts,0.09,0.0,0.0,0.01,0.1,NASCAR,PSP,66.0,5.5
10818,Halo 2,PC,2007.0,Shooter,Microsoft Game Studios,0.01,0.06,0.0,0.02,0.1,Halo 2,PC,72.0,6.2
10840,Risen 3: Titan Lords,PC,2014.0,Role-Playing,Deep Silver,0.0,0.08,0.0,0.01,0.09,Risen 3: Titan Lords,PC,65.0,5.8
10841,Dungeons,PC,2011.0,Strategy,Kalypso Media,0.07,0.02,0.0,0.01,0.09,Dungeons,PC,65.0,4.7
10848,Medieval II: Total War,PC,2006.0,Strategy,Sega,0.0,0.08,0.0,0.02,0.09,Medieval II: Total War,PC,88.0,9.0
10856,FIFA Street 3,DS,2008.0,Sports,Electronic Arts,0.07,0.02,0.0,0.01,0.09,FIFA Street 3,DS,56.0,
10861,Rygar: The Battle of Argus,Wii,2008.0,Action,Rising Star Games,0.09,0.0,0.0,0.01,0.09,Rygar: The Battle of Argus,Wii,52.0,7.0
10879,Scooby-Doo! Who's Watching Who?,DS,2006.0,Adventure,THQ,0.08,0.01,0.0,0.01,0.09,Scooby-Doo! Who's Watching Who?,DS,56.0,
10888,Harvey Birdman: Attorney at Law,PSP,2008.0,Adventure,Capcom,0.08,0.0,0.0,0.01,0.09,Harvey Birdman: Attorney at Law,PSP,62.0,8.0
10890,The Legend of Heroes: A Tear of Vermillion,PSP,2005.0,Role-Playing,Namco Bandai Games,0.08,0.0,0.0,0.01,0.09,The Legend of Heroes: A Tear of Vermillion,PSP,68.0,7.9
10904,"Prinny 2: Dawn of Operation Panties, Dood!",PSP,2010.0,Platform,Nippon Ichi Software,0.05,0.0,0.03,0.01,0.09,"Prinny 2: Dawn of Operation Panties, Dood!",PSP,68.0,7.9
10908,echochrome,PSP,2008.0,Puzzle,Sony Computer Entertainment,0.0,0.01,0.08,0.0,0.09,echochrome,PSP,79.0,7.8
10925,Brain Age: Concentration Training,3DS,2012.0,Puzzle,Nintendo,0.09,0.0,0.0,0.01,0.09,Brain Age: Concentration Training,3DS,69.0,7.2
10926,Henry Hatsworth in the Puzzling Adventure,DS,2009.0,Puzzle,Electronic Arts,0.08,0.01,0.0,0.01,0.09,Henry Hatsworth in the Puzzling Adventure,DS,82.0,8.1
